Start   End Locus   Strand
1   576 D-loop  +
577 647 MT-TF   +
648 1601    MT-RNR1 +
1602    1670    MT-TV   +
1671    3229    MT-RNR2 +
3230    3304    MT-TL1  +
3305    3306    non-coding  +
3307    4262    MT-ND1  +
4263    4331    MT-TI   +
4329    4400    MT-TQ   -
4401    4401    non-coding  +
4402    4469    MT-TM   +
4470    5511    MT-ND2  +
5512    5579    MT-TW   +
5580    5586    non-coding  +
5587    5655    MT-TA   -
5656    5656    non-coding  +
5657    5729    MT-TN   -
5730    5760    non-coding  -
5761    5826    MT-TC   -
5826    5891    MT-TY   -
5892    5903    non-coding  +
5904    7445    MT-CO1  +
7446    7514    MT-TS1  -
7515    7517    non-coding  +
7518    7585    MT-TD   +
7586    8269    MT-CO2  +
8270    8294    non-coding  +
8295    8364    MT-TK   +
8365    8365    non-coding  +
8366    8572    MT-ATP8 +
8527    9207    MT-ATP6 +
9207    9990    MT-CO3  +
9991    10058   MT-TG   +
10059   10404   MT-ND3  +
10405   10469   MT-TR   +
10470   10766   MT-ND4L +
10760   12137   MT-ND4  +
12138   12206   MT-TH   +
12207   12265   MT-TS2  +
12266   12336   MT-TL2  +
12337   14148   MT-ND5  +
14149   14673   MT-ND6  -
14674   14742   MT-TE   -
14743   14746   non-coding  +
14747   15887   MT-CYB  +
15888   15953   MT-TT   +
15954   15955   non-coding  +
15956   16023   MT-TP   -
16024   16569   D-loop  +
